"","age","maritl","race","education","jobclass","wage"
"153767",37,"2. Married","1. White","4. College Grad","2. Information",200.543262324662
"81071",55,"2. Married","3. Asian","2. HS Grad","1. Industrial",99.6894636984864
"376442",21,"1. Never Married","2. Black","2. HS Grad","1. Industrial",70.4760196469445
"228621",31,"1. Never Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
"232494",25,"1. Never Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
"228400",32,"1. Never Married","1. White","3. Some College","2. Information",100.764272842107
"451860",40,"1. Never Married","2. Black","1. < HS Grad","2. Information",94.0727147457005
"157058",44,"2. Married","1. White","5. Advanced Degree","2. Information",99.6894636984864
"159583",60,"2. Married","1. White","4. College Grad","1. Industrial",268.266292012557
"233759",23,"1. Never Married","1. White","1. < HS Grad","1. Industrial",81.2832532842527
"159224",63,"2. Married","1. White","2. HS Grad","2. Information",113.567089569751
"86298",61,"2. Married","1. White","3. Some College","1. Industrial",106.723977625299
"453021",55,"2. Married","1. White","5. Advanced Degree","2. Information",66.0446942318056
"305888",42,"3. Widowed","1. White","2. HS Grad","1. Industrial",85.3839403789827
"232199",25,"2. Married","1. White","2. HS Grad","2. Information",76.8936025176112
"86568",34,"4. Divorced","1. White","2. HS Grad","1. Industrial",90.4819133566401
"447500",53,"2. Married","1. White","1. < HS Grad","2. Information",68.0764282889521
"452506",53,"2. Married","1. White","4. College Grad","2. Information",130.982177377461
"450908",70,"2. Married","3. Asian","5. Advanced Degree","2. Information",127.901232979118
"82573",47,"2. Married","1. White","4. College Grad","2. Information",131.224593755096
"159196",46,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"232000",22,"1. Never Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
"453486",74,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
"156065",40,"2. Married","2. Black","3. Some College","2. Information",98.5993438603892
"229079",45,"2. Married","1. White","4. College Grad","2. Information",200.543262324662
"450905",43,"2. Married","3. Asian","4. College Grad","2. Information",156.503510882633
"10660",33,"2. Married","3. Asian","4. College Grad","2. Information",144.944364980516
"449456",62,"2. Married","2. Black","4. College Grad","2. Information",118.884359339886
"374660",37,"2. Married","1. White","4. College Grad","2. Information",121.430313822622
"9273",34,"2. Married","1. White","3. Some College","1. Industrial",68.7480877337669
"303825",41,"2. Married","1. White","1. < HS Grad","1. Industrial",87.9810327856054
"303376",38,"2. Married","1. White","3. Some College","1. Industrial",128.680488220624
"230586",35,"2. Married","1. White","3. Some College","1. Industrial",114.475713290347
"450109",29,"2. Married","1. White","4. College Grad","2. Information",112.6488963421
"87291",37,"2. Married","1. White","2. HS Grad","2. Information",75.8954848228103
"228517",39,"2. Married","2. Black","2. HS Grad","2. Information",112.136922992214
"160971",42,"2. Married","1. White","2. HS Grad","1. Industrial",85.3839403789827
"233043",51,"2. Married","1. White","5. Advanced Degree","1. Industrial",176.989650489877
"377184",38,"2. Married","1. White","5. Advanced Degree","1. Industrial",276.778413321176
"8033",49,"2. Married","1. White","2. HS Grad","2. Information",101.82435207568
"233687",42,"2. Married","1. White","2. HS Grad","2. Information",91.6992261117042
"378429",59,"2. Married","3. Asian","2. HS Grad","1. Industrial",139.213788138664
"447412",57,"2. Married","1. White","3. Some College","1. Industrial",95.2307125669819
"13924",25,"1. Never Married","1. White","2. HS Grad","1. Industrial",66.9616443217359
"87630",49,"2. Married","1. White","4. College Grad","1. Industrial",131.194323611687
"451987",38,"2. Married","1. White","2. HS Grad","1. Industrial",114.475713290347
"307755",49,"4. Divorced","1. White","2. HS Grad","1. Industrial",104.591737924918
"379330",60,"2. Married","1. White","4. College Grad","2. Information",123.089699847943
"8339",46,"2. Married","3. Asian","5. Advanced Degree","2. Information",134.705375118879
"83190",21,"1. Never Married","1. White","2. HS Grad","2. Information",55.7673905084923
"452580",61,"2. Married","1. White","4. College Grad","1. Industrial",106.921814091211
"302701",32,"2. Married","2. Black","5. Advanced Degree","2. Information",118.884359339886
"83222",58,"2. Married","1. White","2. HS Grad","2. Information",87.9810327856054
"229714",32,"1. Never Married","2. Black","2. HS Grad","1. Industrial",94.0727147457005
"159048",37,"2. Married","1. White","2. HS Grad","2. Information",106.921814091211
"302868",22,"1. Never Married","3. Asian","2. HS Grad","1. Industrial",59.0970640815891
"11661",35,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",157.700527725737
"86282",60,"2. Married","1. White","2. HS Grad","2. Information",129.453644576625
"305327",40,"2. Married","1. White","4. College Grad","2. Information",176.989650489877
"81655",35,"1. Never Married","1. White","1. < HS Grad","2. Information",59.0970640815891
"303953",35,"2. Married","1. White","5. Advanced Degree","2. Information",94.0727147457005
"374752",47,"2. Married","1. White","2. HS Grad","1. Industrial",134.705375118879
"159109",43,"1. Never Married","1. White","4. College Grad","2. Information",81.2832532842527
"159909",60,"4. Divorced","1. White","5. Advanced Degree","1. Industrial",153.457515308961
"378138",38,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",136.876367635184
"86191",55,"2. Married","1. White","3. Some College","2. Information",130.220832358777
"154759",57,"2. Married","2. Black","2. HS Grad","2. Information",104.921506533664
"306309",43,"2. Married","1. White","2. HS Grad","1. Industrial",123.908567597957
"377137",35,"2. Married","2. Black","3. Some College","2. Information",123.089699847943
"375944",54,"2. Married","1. White","2. HS Grad","2. Information",78.155161407934
"304068",45,"2. Married","1. White","2. HS Grad","2. Information",73.7757432746946
"156557",58,"4. Divorced","3. Asian","4. College Grad","2. Information",138.299126920883
"306779",48,"2. Married","1. White","4. College Grad","2. Information",127.115743812184
"161021",46,"2. Married","3. Asian","1. < HS Grad","1. Industrial",68.7480877337669
"85966",46,"2. Married","1. White","2. HS Grad","1. Industrial",84.39111474778
"453692",55,"2. Married","1. White","1. < HS Grad","1. Industrial",85.3839403789827
"233313",51,"2. Married","1. White","3. Some College","1. Industrial",128.680488220624
"9681",49,"2. Married","1. White","3. Some College","1. Industrial",70.4760196469445
"379875",34,"1. Never Married","1. White","3. Some College","1. Industrial",76.8936025176112
"305250",53,"2. Married","1. White","3. Some College","1. Industrial",148.413159102577
"84642",40,"2. Married","1. White","3. Some College","1. Industrial",148.413159102577
"451306",50,"2. Married","1. White","3. Some College","1. Industrial",175.960883130401
"157989",39,"2. Married","1. White","3. Some College","1. Industrial",145.143601176911
"155697",50,"2. Married","1. White","2. HS Grad","2. Information",141.08887439127
"234523",48,"2. Married","1. White","4. College Grad","1. Industrial",123.089699847943
"233149",47,"2. Married","1. White","2. HS Grad","1. Industrial",129.453644576625
"234640",39,"2. Married","1. White","2. HS Grad","1. Industrial",103.90247060316
"453255",44,"2. Married","2. Black","2. HS Grad","2. Information",118.884359339886
"232628",52,"2. Married","1. White","2. HS Grad","1. Industrial",101.82435207568
"85539",26,"1. Never Married","3. Asian","3. Some College","1. Industrial",99.6894636984864
"377464",39,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",99.6894636984864
"230582",25,"2. Married","2. Black","2. HS Grad","1. Industrial",99.6894636984864
"9573",31,"1. Never Married","1. White","4. College Grad","2. Information",94.0727147457005
"11880",30,"2. Married","1. White","4. College Grad","2. Information",104.921506533664
"153581",40,"4. Divorced","1. White","2. HS Grad","1. Industrial",95.2307125669819
"232176",55,"2. Married","1. White","5. Advanced Degree","1. Industrial",173.879493310012
"450900",35,"2. Married","3. Asian","5. Advanced Degree","2. Information",193.411070530969
"377900",48,"2. Married","1. White","2. HS Grad","1. Industrial",114.475713290347
"12056",25,"1. Never Married","1. White","3. Some College","1. Industrial",89.4924795180001
"84397",40,"2. Married","1. White","3. Some College","1. Industrial",120.589436530402
"228458",44,"2. Married","1. White","2. HS Grad","2. Information",127.115743812184
"230993",49,"2. Married","1. White","3. Some College","2. Information",118.884359339886
"153269",22,"1. Never Married","1. White","3. Some College","1. Industrial",34.6074177301288
"305585",45,"2. Married","1. White","3. Some College","1. Industrial",114.475713290347
"302536",33,"2. Married","1. White","3. Some College","1. Industrial",85.3839403789827
"14404",29,"1. Never Married","1. White","5. Advanced Degree","2. Information",130.982177377461
"233441",37,"2. Married","1. White","2. HS Grad","1. Industrial",75.0431540173515
"381113",58,"2. Married","1. White","4. College Grad","1. Industrial",73.118306923864
"156406",39,"2. Married","1. White","5. Advanced Degree","1. Industrial",123.089699847943
"378714",41,"2. Married","1. White","4. College Grad","2. Information",157.700527725737
"376309",29,"2. Married","2. Black","4. College Grad","2. Information",81.2832532842527
"451901",37,"2. Married","1. White","4. College Grad","2. Information",107.256062128429
"450725",62,"2. Married","1. White","2. HS Grad","2. Information",78.9816745162994
"159821",37,"2. Married","1. White","2. HS Grad","1. Industrial",94.0727147457005
"229865",56,"5. Separated","3. Asian","4. College Grad","2. Information",99.6894636984864
"83880",36,"2. Married","1. White","3. Some College","2. Information",176.989650489877
"9965",23,"1. Never Married","4. Other","2. HS Grad","2. Information",73.7757432746946
"157250",46,"2. Married","1. White","3. Some College","2. Information",99.6894636984864
"453371",26,"1. Never Married","1. White","3. Some College","1. Industrial",94.0727147457005
"228243",43,"2. Married","1. White","1. < HS Grad","2. Information",95.2307125669819
"307645",36,"2. Married","1. White","2. HS Grad","2. Information",127.115743812184
"156420",54,"5. Separated","1. White","3. Some College","2. Information",99.6894636984864
"160039",62,"2. Married","1. White","2. HS Grad","1. Industrial",95.6888119067371
"233379",40,"2. Married","1. White","2. HS Grad","1. Industrial",109.833985642199
"231082",53,"2. Married","1. White","3. Some College","1. Industrial",118.884359339886
"301920",48,"2. Married","1. White","5. Advanced Degree","2. Information",176.989650489877
"80687",23,"2. Married","1. White","4. College Grad","1. Industrial",61.1875264339915
"450566",34,"2. Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
"86450",43,"2. Married","1. White","4. College Grad","2. Information",256.400649562425
"234600",55,"2. Married","1. White","2. HS Grad","2. Information",81.2832532842527
"230477",45,"2. Married","3. Asian","3. Some College","1. Industrial",130.982177377461
"227901",31,"4. Divorced","1. White","2. HS Grad","1. Industrial",43.7351116779821
"86826",34,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
"451854",41,"2. Married","1. White","3. Some College","2. Information",109.833985642199
"228591",36,"1. Never Married","2. Black","3. Some College","1. Industrial",97.4932940453934
"302140",38,"2. Married","1. White","1. < HS Grad","1. Industrial",62.3983547205685
"228955",47,"2. Married","1. White","3. Some College","2. Information",134.705375118879
"9621",47,"5. Separated","1. White","1. < HS Grad","1. Industrial",61.1875264339915
"82989",40,"2. Married","1. White","3. Some College","2. Information",109.833985642199
"82023",32,"3. Widowed","3. Asian","4. College Grad","1. Industrial",104.921506533664
"374706",57,"2. Married","1. White","4. College Grad","1. Industrial",73.7757432746946
"379611",56,"2. Married","1. White","4. College Grad","1. Industrial",141.77517233318
"452592",73,"2. Married","1. White","1. < HS Grad","1. Industrial",90.4819133566401
"157388",49,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",134.705375118879
"448936",30,"1. Never Married","1. White","2. HS Grad","1. Industrial",109.833985642199
"377039",29,"2. Married","1. White","2. HS Grad","1. Industrial",91.6992261117042
"82375",36,"2. Married","1. White","3. Some College","2. Information",95.2307125669819
"228628",45,"2. Married","2. Black","4. College Grad","1. Industrial",99.6894636984864
"85756",50,"2. Married","1. White","4. College Grad","1. Industrial",54.5981500331442
"160269",42,"2. Married","1. White","4. College Grad","2. Information",32.3664131748549
"301711",58,"2. Married","1. White","3. Some College","1. Industrial",118.884359339886
"156809",48,"2. Married","1. White","4. College Grad","1. Industrial",109.833985642199
"14133",45,"2. Married","1. White","3. Some College","2. Information",118.884359339886
"306552",41,"4. Divorced","1. White","3. Some College","1. Industrial",110.782650276254
"377157",27,"1. Never Married","1. White","2. HS Grad","1. Industrial",93.5572673479306
"82901",44,"2. Married","1. White","2. HS Grad","2. Information",109.833985642199
"159765",32,"2. Married","1. White","4. College Grad","2. Information",118.884359339886
"229546",46,"2. Married","1. White","1. < HS Grad","2. Information",118.884359339886
"9730",52,"2. Married","2. Black","2. HS Grad","2. Information",52.1561711699147
"83618",53,"3. Widowed","1. White","2. HS Grad","1. Industrial",117.146816914805
"447879",42,"2. Married","1. White","1. < HS Grad","2. Information",101.82435207568
"84867",29,"1. Never Married","1. White","3. Some College","1. Industrial",86.6951548289402
"14063",28,"2. Married","1. White","5. Advanced Degree","2. Information",141.77517233318
"12822",46,"2. Married","1. White","4. College Grad","1. Industrial",66.9616443217359
"302239",55,"2. Married","2. Black","5. Advanced Degree","2. Information",118.884359339886
"84949",56,"2. Married","1. White","2. HS Grad","1. Industrial",105.767639622758
"11129",41,"4. Divorced","2. Black","2. HS Grad","2. Information",118.884359339886
"450963",61,"2. Married","1. White","5. Advanced Degree","2. Information",176.989650489877
"154245",47,"2. Married","1. White","2. HS Grad","2. Information",65.1108537153447
"231844",52,"2. Married","1. White","3. Some College","1. Industrial",85.3839403789827
"87485",27,"2. Married","1. White","2. HS Grad","1. Industrial",72.1504556815713
"306574",33,"1. Never Married","2. Black","3. Some College","2. Information",89.2428846644714
"13319",27,"2. Married","1. White","4. College Grad","1. Industrial",145.805163374625
"452710",52,"5. Separated","2. Black","2. HS Grad","1. Industrial",87.9810327856054
"156407",45,"2. Married","1. White","5. Advanced Degree","1. Industrial",41.0998036301194
"153297",22,"1. Never Married","1. White","2. HS Grad","2. Information",68.3956538035455
"80386",25,"1. Never Married","1. White","2. HS Grad","1. Industrial",73.7757432746946
"12586",41,"2. Married","2. Black","1. < HS Grad","1. Industrial",130.982177377461
"234325",54,"5. Separated","1. White","4. College Grad","1. Industrial",148.413159102577
"231481",36,"1. Never Married","1. White","5. Advanced Degree","1. Industrial",63.1888610037461
"83198",31,"5. Separated","1. White","3. Some College","1. Industrial",94.0727147457005
"231026",52,"2. Married","1. White","2. HS Grad","2. Information",92.6581301668597
"305362",45,"2. Married","1. White","2. HS Grad","1. Industrial",118.884359339886
"447780",40,"2. Married","1. White","2. HS Grad","1. Industrial",79.8549003093467
"87269",33,"1. Never Married","3. Asian","4. College Grad","2. Information",86.6951548289402
"307318",42,"2. Married","1. White","4. College Grad","2. Information",133.971500070695
"302976",41,"2. Married","1. White","4. College Grad","2. Information",125.525498433836
"14041",24,"4. Divorced","1. White","2. HS Grad","1. Industrial",72.1504556815713
"228348",24,"1. Never Married","1. White","3. Some College","1. Industrial",118.884359339886
"381272",51,"2. Married","1. White","2. HS Grad","2. Information",70.4760196469445
"87402",41,"2. Married","1. White","2. HS Grad","1. Industrial",127.115743812184
"451721",42,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
"447992",55,"2. Married","3. Asian","1. < HS Grad","1. Industrial",54.5981500331442
"377619",23,"1. Never Married","1. White","2. HS Grad","1. Industrial",84.0459576539924
"153764",60,"4. Divorced","1. White","4. College Grad","2. Information",85.3839403789827
"158574",40,"2. Married","3. Asian","5. Advanced Degree","2. Information",141.77517233318
"374992",41,"1. Never Married","1. White","2. HS Grad","2. Information",110.782650276254
"155488",80,"2. Married","1. White","2. HS Grad","2. Information",79.8549003093467
"8969",53,"2. Married","1. White","2. HS Grad","2. Information",97.4932940453934
"86280",40,"1. Never Married","1. White","2. HS Grad","1. Industrial",171.765132627508
"451302",35,"2. Married","1. White","3. Some College","1. Industrial",137.481247831663
"448525",55,"2. Married","1. White","1. < HS Grad","1. Industrial",75.3556793180091
"381232",24,"1. Never Married","1. White","2. HS Grad","2. Information",73.7757432746946
"304500",39,"2. Married","1. White","4. College Grad","2. Information",148.413159102577
"156397",30,"2. Married","1. White","5. Advanced Degree","1. Industrial",95.2307125669819
"9066",68,"2. Married","1. White","2. HS Grad","1. Industrial",87.9810327856054
"375305",27,"1. Never Married","1. White","4. College Grad","1. Industrial",81.2832532842527
"13745",34,"2. Married","1. White","2. HS Grad","1. Industrial",118.884359339886
"87094",53,"2. Married","1. White","5. Advanced Degree","2. Information",127.115743812184
"87118",48,"2. Married","2. Black","5. Advanced Degree","2. Information",85.3839403789827
"11498",59,"2. Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
"303688",45,"2. Married","1. White","5. Advanced Degree","2. Information",163.515863976238
"304050",39,"2. Married","4. Other","4. College Grad","2. Information",104.921506533664
"378178",45,"2. Married","3. Asian","4. College Grad","1. Industrial",99.6894636984864
"302298",43,"2. Married","1. White","5. Advanced Degree","2. Information",281.745970551857
"157594",30,"1. Never Married","2. Black","5. Advanced Degree","2. Information",138.299126920883
"10835",57,"2. Married","1. White","4. College Grad","2. Information",176.989650489877
"81344",53,"2. Married","1. White","4. College Grad","2. Information",136.876367635184
"449687",42,"2. Married","1. White","4. College Grad","2. Information",186.876677628007
"449444",58,"2. Married","1. White","2. HS Grad","1. Industrial",85.3839403789827
"10723",43,"2. Married","1. White","1. < HS Grad","1. Industrial",145.143601176911
"154638",33,"4. Divorced","1. White","5. Advanced Degree","2. Information",120.589436530402
"85115",56,"2. Married","1. White","4. College Grad","2. Information",101.82435207568
"232201",37,"2. Married","2. Black","4. College Grad","1. Industrial",108.874525834712
"452906",41,"4. Divorced","1. White","5. Advanced Degree","1. Industrial",38.6059145209601
"301654",33,"2. Married","1. White","3. Some College","2. Information",92.8958447894966
"307056",50,"1. Never Married","1. White","5. Advanced Degree","2. Information",126.323880709786
"161096",43,"2. Married","1. White","5. Advanced Degree","2. Information",191.573683548412
"87060",53,"2. Married","1. White","4. College Grad","1. Industrial",155.900506146767
"12303",37,"3. Widowed","1. White","3. Some College","2. Information",87.9810327856054
"229331",20,"1. Never Married","2. Black","3. Some College","2. Information",59.0970640815891
"154322",29,"4. Divorced","1. White","4. College Grad","2. Information",90.4819133566401
"450843",47,"2. Married","1. White","3. Some College","2. Information",151.591484239814
"85580",54,"2. Married","1. White","5. Advanced Degree","1. Industrial",272.294783220064
"303657",38,"2. Married","1. White","1. < HS Grad","1. Industrial",97.4932940453934
"231767",23,"1. Never Married","1. White","3. Some College","1. Industrial",68.111994065327
"82755",31,"2. Married","1. White","2. HS Grad","2. Information",127.115743812184
"84630",43,"2. Married","1. White","4. College Grad","2. Information",272.294783220064
"154919",33,"2. Married","1. White","5. Advanced Degree","2. Information",111.720849360989
"83800",48,"2. Married","1. White","2. HS Grad","1. Industrial",127.115743812184
"375159",33,"2. Married","1. White","2. HS Grad","1. Industrial",87.9810327856054
"452406",52,"2. Married","1. White","4. College Grad","2. Information",114.475713290347
"375122",30,"1. Never Married","2. Black","3. Some College","2. Information",69.7915308454408
"87199",44,"2. Married","1. White","2. HS Grad","1. Industrial",94.0727147457005
"82912",38,"2. Married","1. White","2. HS Grad","2. Information",127.273347006486
"379794",51,"2. Married","1. White","2. HS Grad","1. Industrial",160.642475408263
"307692",47,"2. Married","1. White","3. Some College","1. Industrial",171.765132627508
"7744",28,"2. Married","1. White","4. College Grad","2. Information",141.77517233318
"85617",52,"4. Divorced","1. White","3. Some College","2. Information",115.375038556391
"82419",23,"1. Never Married","1. White","1. < HS Grad","1. Industrial",72.1504556815713
"158170",65,"2. Married","1. White","1. < HS Grad","1. Industrial",73.7757432746946
"10787",27,"1. Never Married","1. White","4. College Grad","1. Industrial",127.115743812184
"86679",33,"2. Married","1. White","1. < HS Grad","2. Information",20.9343779401018
"379950",49,"2. Married","1. White","2. HS Grad","1. Industrial",79.8549003093467
"380366",27,"1. Never Married","1. White","3. Some College","1. Industrial",102.870246933215
"377229",48,"4. Divorced","1. White","2. HS Grad","1. Industrial",115.375038556391
"14381",38,"1. Never Married","1. White","3. Some College","1. Industrial",97.4932940453934
"380704",58,"2. Married","1. White","3. Some College","1. Industrial",104.921506533664
"154336",40,"2. Married","3. Asian","5. Advanced Degree","1. Industrial",115.375038556391
"303935",46,"2. Married","1. White","2. HS Grad","1. Industrial",93.4866920429597
"83458",40,"1. Never Married","1. White","2. HS Grad","1. Industrial",84.0459576539924
"228692",35,"2. Married","1. White","2. HS Grad","2. Information",127.115743812184
"10081",50,"5. Separated","1. White","2. HS Grad","2. Information",95.2307125669819
"86122",34,"2. Married","1. White","3. Some College","1. Industrial",81.2832532842527
"452287",48,"2. Married","1. White","2. HS Grad","2. Information",102.870246933215
"82373",49,"2. Married","1. White","5. Advanced Degree","2. Information",111.720849360989
"448894",41,"2. Married","3. Asian","4. College Grad","2. Information",94.0727147457005
"81495",37,"2. Married","3. Asian","4. College Grad","2. Information",127.115743812184
"155436",58,"2. Married","1. White","3. Some College","2. Information",104.921506533664
"231274",28,"1. Never Married","2. Black","2. HS Grad","1. Industrial",68.111994065327
"158044",33,"2. Married","1. White","2. HS Grad","1. Industrial",128.680488220624
"153953",50,"2. Married","1. White","3. Some College","1. Industrial",143.92735936583
"450724",38,"2. Married","1. White","2. HS Grad","2. Information",103.90247060316
"160958",48,"2. Married","1. White","2. HS Grad","1. Industrial",91.6992261117042
"376843",30,"2. Married","1. White","3. Some College","1. Industrial",95.2307125669819
"229069",49,"2. Married","1. White","5. Advanced Degree","2. Information",138.299126920883
"9667",44,"2. Married","1. White","4. College Grad","2. Information",118.55677641507
"448988",58,"2. Married","3. Asian","4. College Grad","2. Information",114.475713290347
"82603",45,"1. Never Married","1. White","4. College Grad","2. Information",150.01328628271
"7878",44,"2. Married","1. White","3. Some College","2. Information",97.4932940453934
"14321",35,"4. Divorced","1. White","4. College Grad","2. Information",90.4819133566401
"8396",59,"2. Married","1. White","2. HS Grad","2. Information",81.2832532842527
"447417",45,"2. Married","1. White","2. HS Grad","2. Information",130.982177377461
"232031",61,"2. Married","1. White","3. Some College","2. Information",130.982177377461
"378256",45,"2. Married","1. White","2. HS Grad","1. Industrial",145.143601176911
"155519",34,"1. Never Married","1. White","4. College Grad","1. Industrial",90.4819133566401
"304018",33,"2. Married","1. White","4. College Grad","2. Information",113.567089569751
"9841",45,"2. Married","1. White","2. HS Grad","2. Information",87.9810327856054
"233955",50,"2. Married","1. White","2. HS Grad","2. Information",109.833985642199
"8039",39,"2. Married","1. White","3. Some College","2. Information",84.0459576539924
"448678",26,"1. Never Married","1. White","4. College Grad","2. Information",160.643638171791
"306092",49,"2. Married","1. White","2. HS Grad","1. Industrial",47.9055670370271
"153618",20,"1. Never Married","1. White","2. HS Grad","1. Industrial",59.0970640815891
"304167",56,"1. Never Married","2. Black","2. HS Grad","1. Industrial",87.9810327856054
"12979",56,"5. Separated","1. White","2. HS Grad","2. Information",110.782650276254
"451080",51,"2. Married","1. White","4. College Grad","2. Information",118.884359339886
"85699",42,"2. Married","1. White","1. < HS Grad","1. Industrial",120.589436530402
"228178",30,"2. Married","1. White","5. Advanced Degree","2. Information",105.375892660271
"12945",48,"1. Never Married","1. White","4. College Grad","2. Information",69.0108766220885
"450263",33,"2. Married","1. White","5. Advanced Degree","1. Industrial",87.9810327856054
"157405",31,"2. Married","3. Asian","5. Advanced Degree","2. Information",171.765132627508
"161083",48,"2. Married","1. White","4. College Grad","1. Industrial",133.232350826567
"8459",35,"2. Married","1. White","5. Advanced Degree","2. Information",200.543262324662
"451331",47,"2. Married","2. Black","3. Some College","1. Industrial",92.8958447894966
"305396",45,"2. Married","1. White","4. College Grad","1. Industrial",148.413159102577
"306067",46,"2. Married","1. White","2. HS Grad","1. Industrial",82.6796372966372
"303214",47,"2. Married","3. Asian","4. College Grad","2. Information",105.927810775063
"452388",49,"2. Married","1. White","2. HS Grad","1. Industrial",267.901086855275
"302942",36,"2. Married","1. White","1. < HS Grad","1. Industrial",104.921506533664
"11666",51,"2. Married","1. White","4. College Grad","1. Industrial",127.115743812184
"82114",37,"2. Married","3. Asian","4. College Grad","2. Information",148.413159102577
"7969",23,"1. Never Married","1. White","3. Some College","1. Industrial",65.1108537153447
